osmid,x,y,nearest_pharmacy_m
1139560452,10.8617861,48.3859486,1180.5654225960757
1139560456,10.8630748,48.3857822,1083.1237692129878
1139560473,10.8672691,48.3858576,750.5865762694076
1139560478,10.8671831,48.3854856,792.4365454455535
1139560482,10.8616878,48.3863865,1189.2077557432817
1139560485,10.861777,48.3866086,1163.6479885625363
1139560527,10.8672984,48.3859977,734.8552804688869
1139560552,10.8626791,48.3864699,1080.6389214123615
1139560568,10.8643541,48.3859921,977.1461291753373
1139560599,10.8682283,48.3857573,822.2922830939848
1139560609,10.8682958,48.385372,875.2312654657085
1139560618,10.8618782,48.3862199,1161.7547604437177
1139560620,10.8631163,48.3859771,1080.7967794789065
1139560655,10.861852,48.3867853,1159.2622408738764
1139560664,10.8616409,48.3862583,1179.7909645072084
1139560666,10.8623058,48.3860659,1139.5672580152213
1139560672,10.8642903,48.3856843,992.4525867918959
1139560675,10.8608845,48.3865249,1247.8288317630952
1139560694,10.8631403,48.3860954,1067.5235470871953
1139582374,10.9394148,48.3510105,877.8018319116936
1139582388,10.9386704,48.3511584,810.7817029028951
1139582423,10.9387244,48.3514053,783.0391555259735
1139582431,10.9386304,48.3509383,835.433591357288
1139582436,10.9391611,48.3509337,874.6538040516839
1139582439,10.9390936,48.3513971,810.3367297828315
1139622844,10.8575641,48.3884571,715.7461417118315
1139622850,10.8563148,48.3889395,777.8918330375051
1139622855,10.8575983,48.3886405,695.1971918246054
1139622863,10.8555206,48.3888744,848.6231749990571
1139622867,10.8565061,48.3883519,811.2213369488901
1139622870,10.8566144,48.3889081,755.495119545986
1139622874,10.8573978,48.3880736,758.9980929206567
1139622879,10.855879,48.3888434,821.9348366901849
1139622894,10.8577178,48.3888195,673.424951633493
1139622896,10.8565526,48.388553,790.8585495653755
1139622902,10.8564586,48.3881567,828.9639048278965
1139622904,10.8558815,48.3891178,816.596071539699
1139622926,10.8575203,48.3882664,735.7294377884265
1139622929,10.8565842,48.3887324,770.7741440482224
1139622937,10.8580777,48.3887869,646.6032810702969
1139929433,10.8707378,48.3884415,706.1787696756593
1141307112,10.906413,48.343187,967.7497700483057
1141307312,10.9063845,48.3432843,956.7273544972412
1141430927,10.895481,48.3695122,120.88810144475177
1141430958,10.8980536,48.3701827,205.86815279526985
1141430973,10.8982199,48.3696247,234.18242168525612
1141431028,10.8947429,48.369569,86.06026152642792
1141483569,10.8976738,48.370631,168.36674754014317
1141483588,10.8971483,48.3705035,166.90436073926503
1141838950,10.827185,48.3212401,3623.753415438332
1141838967,10.8261001,48.320692,3724.590315504535
1141838977,10.8335632,48.3241799,3031.537653881753
1141838984,10.8383758,48.3297196,2833.1504712447463
1141838991,10.8277515,48.3216267,3563.4679733065786
1142060999,10.9442673,48.3498338,502.21152838359257
1142061007,10.9443076,48.3494993,536.9619685643127
1142061031,10.944327,48.3490455,585.3180657100139
1142061037,10.9442739,48.3497217,513.8324277089218
1142061049,10.9443065,48.3493889,549.2035455161168
1142061059,10.9442803,48.3496119,525.8579228357246
1142061084,10.9443269,48.3491601,573.2126739725896
1142061095,10.9443054,48.3492748,562.0015159866092
1142261134,10.9404682,48.3504498,816.2078745917436
1142261135,10.939776,48.3503777,868.2975988029732
1143464282,10.9413389,48.3550568,185.62125664836356
1143679148,10.8995072,48.3018166,768.3597077375905
1143679164,10.9005365,48.3020689,667.0201342535023
1145112887,10.9526165,48.3486412,1190.298492117567
1145112924,10.953079,48.3481576,1257.3660874296793
1145112997,10.9517811,48.3491677,978.8184930352663
1145113034,10.9533714,48.349507,1031.5927072951492
1145113085,10.953026,48.3488194,1140.2562052887536
1145113087,10.9531987,48.3505684,912.8801511309083
1145113184,10.9537753,48.3473534,1272.9422614059513
1145113256,10.9537171,48.3476159,1243.4358852717776
1145113306,10.9536381,48.3480233,1197.75955344253
1145113344,10.9526609,48.3504053,968.1786470554955
1145113378,10.9535635,48.3484234,1152.9301239854653
1145113445,10.9520909,48.3486673,1118.4231050028425
1145113452,10.953305,48.3499083,986.6999872998872
1145113526,10.9530043,48.3486291,1161.4773073239567
1145113715,10.9517472,48.3487214,1030.768130877318
1145113732,10.9523307,48.34951,1108.501047995339
1145113822,10.9530799,48.3483893,1188.8688358130992
1145113869,10.9534856,48.3488409,1106.1502983659236
1145113893,10.9519034,48.3488566,1022.157948533614
1145410479,10.8908243,48.3152839,171.689188870877
1145419538,10.9482435,48.3514877,543.7323514530932
1145419539,10.9476798,48.352172,404.25810813276615
1145419598,10.9476824,48.3522365,397.0834523520184
1145419614,10.947115,48.3526877,310.16417573502855
1145419775,10.9464704,48.3534151,296.7873049766897
1145419795,10.9473613,48.3526774,328.400262850878
1145419858,10.9489315,48.3512395,538.3686505606133
1145419911,10.9458541,48.3527189,304.5803462747269
1145419941,10.9471042,48.3525248,328.29842104891156
1145420025,10.9488197,48.3505078,619.7456759096597
1145420037,10.9487496,48.3515013,506.3031760036014
1145420043,10.9482139,48.3517747,445.60547721862275
1145420046,10.9486333,48.3517564,476.66389990969526
1145420065,10.9466151,48.352541,286.59729623478853
1145420076,10.9479285,48.3522321,415.27550005810076
1145420087,10.9479729,48.3526208,374.0950705921067
1145420151,10.9480797,48.3512327,601.3178673046676
1145420188,10.9461566,48.3524536,321.84976199433663
1145420198,10.9479082,48.3517975,422.87387132909885
1145420253,10.9464894,48.3535301,283.923028912492
1145526685,10.910298,48.3155286,865.4301781515005
1145526702,10.9105807,48.3155315,886.3378426734907
1145526706,10.9111326,48.315795,955.8885150526584
1145526713,10.9117895,48.3153099,1001.6820058448395
1145526714,10.9117955,48.3152305,1010.5220371010065
1145526729,10.9111862,48.3147717,1010.8556679645737
1145526731,10.9106203,48.3152027,923.6558477304593
1145526733,10.9106161,48.3152818,914.8548347582934
1145528360,10.8485271,48.3412261,1977.9606153052287
1145528405,10.8487978,48.3411622,1949.9487801249156
1145528571,10.8484552,48.3408115,1929.8212123204758
1147307623,10.8972538,48.2975337,257.58556250768413
1147307624,10.8958991,48.2970917,400.45346992017824
1147307625,10.8970548,48.2975652,273.8094257141641
1147307626,10.8967523,48.297602,298.763174367215
1147307627,10.8958937,48.2972458,403.6293184880737
1147307628,10.8968028,48.2976005,294.33021227632446
1147307629,10.8959302,48.2974126,385.19567228643297
1147307630,10.8969141,48.2975947,284.3581328774632
1147307631,10.8959829,48.2975848,362.1396294954484
1147307632,10.8971733,48.2975377,265.17347759664517
1147307633,10.8973195,48.2975305,251.22251936723825
1147307634,10.8961167,48.2970399,392.35319145915906
1147307635,10.897002,48.2975669,278.4367931485262
1147402386,10.8862402,48.3660865,118.74357939690167
1147859311,10.9079513,48.3347687,410.7715015481045
1147859546,10.9078069,48.3351216,459.5103934624985
1147859671,10.907838,48.3347636,419.1658099553663
1147859813,10.9099791,48.3357578,749.9801440199802
1147974113,10.9085061,48.3290305,939.6002370891728
1147974303,10.9082764,48.3290211,941.4882018388424
1147987825,10.9093239,48.3161641,734.5448873871546
1147987827,10.9106115,48.3132829,875.0933627207052
1149247116,10.9099372,48.341074,1082.0436216156454
1149247123,10.9102258,48.3411188,1102.5371639203915
1149285469,10.9063821,48.3433411,964.6585697498018
1149285540,10.9064071,48.3432877,958.4399178848214
1149310533,10.9406354,48.3536005,432.5999606904643
1149384819,10.9093937,48.3406018,1045.1525382742013
1149384895,10.9083759,48.3406859,1119.7027102894378
1149384929,10.9086446,48.3400718,1046.326226901548
1149384945,10.90826,48.3403268,1093.248394306551
1149384988,10.9084222,48.3406863,1116.2803247524114
1149385023,10.908555,48.3403382,1071.4075714866358
1149385059,10.9085776,48.3400684,1041.3596947597903
1149385084,10.9095014,48.3406141,1037.075629744087
1149500288,10.9051781,48.3399639,444.32185049904064
1149500297,10.9061256,48.339108,621.6846605014676
1149500321,10.9053021,48.3396388,489.6396170723691
1149500323,10.9063818,48.3390203,627.2180121391011
1149500368,10.9061122,48.339377,572.6768690081118
1149500370,10.9050588,48.3396387,489.2479151066752
1149500390,10.905303,48.3392945,527.924142191496
1149500400,10.9065297,48.3399156,563.64341371302
1149500420,10.9031204,48.3394724,377.5880333508164
1149500441,10.9051778,48.339639,480.4522179434631
1149500473,10.9061586,48.3390091,610.4202147065085
1149500492,10.9060238,48.3396375,542.9827665927626
1149500496,10.9050588,48.3393627,519.93775821424
1149500498,10.9033565,48.33957,373.5674040120546
1149500503,10.903243,48.3397394,345.5967054081744
1149500565,10.9057446,48.3396378,522.3462602682994
1149500572,10.9063439,48.3391379,640.5912463188652
1149500625,10.9031654,48.3396587,356.33987681857707
1149500634,10.9063845,48.3396641,562.1711930306171
1149500672,10.9028744,48.3396097,227.34672099298157
1149500680,10.9055214,48.3396383,505.84880928611193
1149500706,10.9051806,48.3398952,451.96318724691344
1149500719,10.9055234,48.339248,549.2485022241545
1149500731,10.9033853,48.3399681,326.6038327144953
1149500755,10.9050637,48.3399164,520.1289137063886
1149500776,10.9063301,48.3398882,536.9300610945661
1149542419,10.9004499,48.3475169,471.7345063041296
1149542433,10.9004827,48.3478662,432.2131518201053
1149542454,10.8995656,48.3482223,539.6979510579486
1149542471,10.9003467,48.3475233,464.0747450508689
1150730857,10.9472913,48.346275,627.5721232931695
1150730866,10.9482554,48.3460304,665.289516029529
1150731018,10.9494157,48.346062,751.7434485112469
1150731035,10.9487476,48.3460641,701.8573737335138
1150731069,10.9493905,48.3463662,785.620223156652
1150731070,10.9482195,48.3463417,697.1486461673525
1150731113,10.947947,48.3463341,676.9923071596937
1150731167,10.9497338,48.3453533,690.5477460794432
1150731220,10.9479678,48.3455083,749.3905566655217
1150731268,10.9502892,48.3463853,848.4147293108998
1150731270,10.9479401,48.3465818,704.5422664274602
1150731310,10.950231,48.3466732,880.4190529781943
1150731325,10.9496741,48.3457935,739.694268146021
1150803130,10.9501121,48.3475064,973.7375962207776
1150803252,10.9506041,48.3471492,1045.0047519895584
1150810024,10.9474248,48.3483403,834.7144193530321
1150810035,10.9480063,48.3484641,802.4748757252252
1151262379,10.9484877,48.3486878,749.44823434113
1151262428,10.9483952,48.3489949,714.6227622610252
1151262558,10.9470769,48.3476272,774.7789756797523
1151262770,10.9486532,48.3475983,871.2551111419572
1151263031,10.9471445,48.3475477,764.5311209919071
1151263034,10.9475914,48.3477158,825.4280258725441
1151351963,10.9425222,48.351426,498.9392088883555
1151351968,10.9432635,48.3516582,418.89025781513413
1151351972,10.9423585,48.3517035,489.25167348735965
1151351974,10.9420527,48.3517054,511.84987267190706
1151360709,10.9493796,48.3474664,908.7648555842239
1151360711,10.9501191,48.3472769,948.2130817278263
1151360714,10.9496368,48.3475133,1011.1877652073596
1151360751,10.9492873,48.347284,1010.202138776821
1151360756,10.9486696,48.3473698,847.1623388012667
1151360761,10.9501118,48.3475272,976.0505602195838
1151360769,10.9496954,48.3469406,946.2266396008717
1151360783,10.9501603,48.3469519,911.8464943334384
1151373500,10.9492928,48.3484192,839.5692237800072
1151373502,10.9485503,48.3483755,784.4835926017209
1151382086,10.943233,48.3489122,753.8955820268804
1151382110,10.9429594,48.3489014,774.4363284050855
1151382118,10.9432605,48.3485511,713.6916412294154
1151382181,10.9471186,48.348277,853.7426862737367
1151382190,10.9429862,48.3485383,734.0128476269603
1151539527,10.895309,48.2981329,429.88314623597233
1151539590,10.8928821,48.2970087,672.6505616593882
1151539652,10.8933306,48.2985102,592.5462513430266
1151539850,10.8944608,48.2981757,490.80762029885017
1151539875,10.8940686,48.2981832,520.314644301444
1151539912,10.8920309,48.2966017,726.6939250690953
1151540063,10.8982078,48.297338,181.9727153016276
1151540123,10.8920561,48.2966569,719.9214404497166
1151540137,10.8928407,48.2983068,633.1858058606186
1151540159,10.8936906,48.2982052,548.3832291476748
1151540167,10.8986489,48.2980831,170.09787537620292
1151540215,10.8961602,48.2979683,351.41579690594233
1151540257,10.8936451,48.2979039,515.385883221536
1151540273,10.8986173,48.2979388,143.96070756972625
1151540324,10.8944925,48.2984527,506.20796874468414
1151540342,10.8941009,48.2984754,535.2853907592303
1151540447,10.8920985,48.2980999,661.1472091980114
1151540450,10.8921427,48.2983359,685.2662590202008
1151540509,10.8921449,48.2967676,703.1612078367266
1151540514,10.896183,48.2981732,374.76903070784937
1151540538,10.8921722,48.2968272,695.7836938413158
1151540594,10.8927127,48.296622,704.2025069180802
1151540638,10.8931273,48.2973878,617.7193241031277
1151540691,10.8952497,48.2978368,396.2709496069667
1151540714,10.8985977,48.2977857,120.66746149131417
1151540746,10.8935777,48.2970044,578.9581427378356
1151540791,10.8928481,48.2980584,605.5052691441456
1151540814,10.8921166,48.2967058,710.411988827475
1151678361,10.7998813,48.3362423,5365.496726288463
1152482376,10.9421794,48.3692235,1660.053319104017
1152482395,10.9440332,48.3693593,1801.185370647344
1152561190,10.9492686,48.3530012,554.2574173316658
1152561193,10.9501652,48.3541524,595.3849616949936
1152561321,10.9493143,48.3549114,481.9636766281511
1152561323,10.948804,48.3542135,519.3068430918232
1152561365,10.949062,48.3542312,538.4722384101369
1152561494,10.9490521,48.352988,538.1042611566945
1152561565,10.9494952,48.353409,548.6527486624609
1152561583,10.9487814,48.3533533,495.5455565625551
1152561607,10.948982,48.3549345,453.8292747107241
1152561618,10.9490045,48.3532902,504.31618863296995
1152561666,10.9487872,48.3535513,511.33826915420633
1152561667,10.9501325,48.3536904,624.5853980169255
1152561678,10.9523049,48.3542405,761.4862567993048
1152561773,10.9501415,48.3543035,578.4923652195971
1152798314,10.9494826,48.3559571,514.8067940454525
1152798414,10.9494496,48.3553071,471.3578052482773
1152798433,10.9507464,48.3561234,610.247455430547
1152798498,10.9494555,48.3552565,465.71446998418355
1152798539,10.9500732,48.3562638,584.9114026400131
1152798589,10.9494323,48.3562031,542.6926473475714
1152798638,10.9500538,48.3564638,607.1965684399536
1152798832,10.9496274,48.3562486,617.8943601909953
1152799005,10.9508249,48.3555508,655.451740138072
1154481702,10.9498516,48.355689,558.5004447333355
1154481751,10.9513515,48.3562156,656.1181291567984
1154481755,10.9504077,48.3559186,584.0928931431974
1154481783,10.9478603,48.3579242,670.8525778617864
1154481855,10.9507733,48.35594,612.0053257290273
1154482148,10.9513696,48.3566684,708.4516605316733
1154482259,10.949606,48.3559243,520.0233957412235
1154482310,10.9499947,48.3570815,676.0212296118765
1154482356,10.9494979,48.3585789,850.1796451342703
1154482553,10.9485277,48.359102,981.6162826071608
1154482678,10.9504778,48.3559122,590.3967623011433
1154482860,10.9488778,48.357681,698.3705900038944
1154483157,10.9507579,48.3560466,606.2550263276693
1154483206,10.9520097,48.3565752,739.0513746307655
1154483210,10.9503981,48.3559981,579.1282363816244
1154483243,10.9490217,48.3585075,886.2485426310304
1154483270,10.9492615,48.3592253,925.69309496587
1154483381,10.9491421,48.3582056,864.3068897168661
1154483427,10.9523679,48.3556794,695.9944624107546
1154483476,10.9484119,48.3554099,412.92455143947785
1154483676,10.9493957,48.3558508,502.4662461445705
1154483724,10.9517301,48.3562441,684.3370030129608
1154483735,10.9497847,48.3570752,691.5540188994543
1154483736,10.9498188,48.3558878,536.2624030425537
1154483759,10.9488683,48.3579737,731.1751400638409
1154483764,10.9489834,48.3583481,882.4864067318712
1154483880,10.9496895,48.3583381,819.8915286612006
1154483946,10.9494741,48.3556331,528.5422003377824
1154483956,10.9488534,48.3579371,726.9591254914562
1155059628,10.8912558,48.398527,3029.210712441565
1155059667,10.8900586,48.3998733,3255.6873468102217
1155059675,10.889806,48.4001636,3293.824818243018
1155059726,10.8894304,48.4022949,3550.222925499509
1156060864,10.8742758,48.3500649,460.07343242065184
1156060986,10.8744758,48.3500444,445.1191209247385
1156061013,10.8751788,48.3499916,392.8382336444886
1156061050,10.874222,48.349744,427.26814187119925
1156061067,10.8751412,48.3496889,359.0649895232307
1156268277,10.9466722,48.3558157,353.7834421772875
1156268280,10.9473399,48.3566879,509.87633841200625
1156268285,10.9477392,48.3552065,355.03707150935486
1156268324,10.9468038,48.356668,470.2031247560689
1156268336,10.9457867,48.3554935,243.6452172764516
1156268337,10.9464409,48.3558077,336.66968021054606
1156268340,10.9464859,48.3565778,518.1774401172287
1156268376,10.9460564,48.3559095,327.5906485204583
1156268398,10.9475641,48.3558458,419.77034398883427
1156268497,10.9443482,48.355941,263.83809490579637
1156268531,10.9461413,48.3557609,309.9163025456116
1156268532,10.9466508,48.3560834,383.59233425002395
1156268537,10.9446013,48.355314,163.18682219497782
1156268575,10.9445188,48.3556816,188.44769690804216
1156268582,10.9457778,48.3560773,362.20607509301686
1156268631,10.946283,48.3555125,280.3775752649491
1156268702,10.9444226,48.3564803,291.3207569866473
1156268823,10.9464244,48.3560821,367.20707818500915
1156268868,10.9448589,48.3551304,141.69097250820985
1156268978,10.9441053,48.3555296,172.4750154124548
1156269084,10.9458202,48.355181,208.80808912417447
1156323024,10.9111457,48.3155445,928.1433642688309
1156323031,10.9111588,48.3152941,955.0098164361409
1156323035,10.9111629,48.3152154,963.7661200517839
1156355988,10.8988975,48.3742518,482.54184929126285
1156356007,10.8988662,48.3743305,491.8085481525202
1157413724,10.9419766,48.3695901,1636.5637980256972
1157413778,10.9417006,48.3691713,1637.7584479690072
1157413790,10.9419142,48.3692439,1653.2996400147854
1157413814,10.9410983,48.3697753,1624.8472538023152
1157413827,10.9410793,48.3693453,1564.6242664770652
1157413829,10.9413326,48.3698239,1642.165527563447
1157413952,10.9416243,48.3690661,1615.4636011785124
1157413959,10.9415281,48.3694793,1601.216637902933
1157413966,10.9415544,48.3698866,1660.594971779853
1157413978,10.9417761,48.3699359,1677.7688759996445
1157414142,10.9474719,48.3660979,1731.4198156225343
