osmid,x,y,nearest_pharmacy_m,accessibility_band
263760271,10.821503,48.3143815,3203.020117298919,> 1500 m
263760289,10.8248547,48.3137158,2940.683763893052,> 1500 m
263760296,10.8279604,48.3130072,2697.666004474268,> 1500 m
263760347,10.8408203,48.3147792,1651.3150862538926,> 1500 m
263769041,10.8445083,48.3228022,2213.57091534082,> 1500 m
263769043,10.8444635,48.322867,2221.501256198896,> 1500 m
263769062,10.8460163,48.3266683,2548.6361054305794,> 1500 m
264104535,10.7969827,48.2954434,6477.672602298206,> 1500 m
264104537,10.7975813,48.295546,6431.944041293784,> 1500 m
264104553,10.8048809,48.2933217,7054.935853592441,> 1500 m
264946324,10.9110501,48.2759278,3036.1371216708835,> 1500 m
264946328,10.9113161,48.2780783,2795.4778593589817,> 1500 m
264946331,10.9047583,48.273433,3518.1241055659866,> 1500 m
264946686,10.9062144,48.2712008,3755.370358688159,> 1500 m
264946690,10.9068069,48.2716922,3684.6505328791854,> 1500 m
264946691,10.9070131,48.2718995,3656.945808231788,> 1500 m
265069730,10.8858356,48.3259088,1953.1556557841304,> 1500 m
265069771,10.8877429,48.3238208,2196.227022300481,> 1500 m
266308235,10.8196539,48.3238448,4348.50189981214,> 1500 m
266308243,10.8185432,48.3222905,4362.663699679753,> 1500 m
266308249,10.8195617,48.3204911,4096.820571890293,> 1500 m
266308715,10.8207742,48.323746,4264.9419327368205,> 1500 m
266308716,10.8199149,48.3221844,4260.558705128611,> 1500 m
266312159,10.8236336,48.3222787,3915.735567088584,> 1500 m
266312165,10.8258447,48.321895,3743.740087604632,> 1500 m
266312166,10.8260309,48.3217958,3726.098831292189,> 1500 m
266312167,10.8264297,48.3216764,3693.368566424026,> 1500 m
266313755,10.8278505,48.3217008,3552.4465381592745,> 1500 m
266313772,10.8328325,48.3237188,3113.320600720353,> 1500 m
266316573,10.8333432,48.3242638,3050.289185307173,> 1500 m
266316574,10.833456,48.3242213,3040.7034200548783,> 1500 m
266316582,10.8354505,48.3235094,2873.301146355142,> 1500 m
266316595,10.8402441,48.322274,2492.957208272409,> 1500 m
